gene,E_score,per_gene_auc,D_score,cox_pval,P_score,F_score,BLS,Coupling,DCI,source,rank
BTC,0.7,0.924551,1.0,0.005545,0.7,1.0,0.835,0.823045,0.972449,ExoCarta,1
HSP90AA1,0.7,0.909514,1.0,0.001873,0.7,1.0,0.835,0.823045,0.972449,ExoCarta,2
CDK4,0.7,0.975516,1.0,0.004068,0.7,1.0,0.835,0.823045,0.972449,ExoCarta,3
CLDN7,0.7,0.925482,1.0,0.036696,0.4,1.0,0.745,0.571021,0.830082,ExoCarta,4
MYC,1.0,0.839721,0.7,0.049469,0.4,1.0,0.73,0.508629,0.80426,Both,5
DKK1,1.0,0.716301,0.4,0.002202,0.7,1.0,0.73,0.508629,0.80426,Both,6
CD44,1.0,0.847438,0.7,0.048297,0.4,1.0,0.73,0.508629,0.80426,Both,7
COL3A1,1.0,0.983633,1.0,0.363369,0.1,1.0,0.73,0.181653,0.756521,Both,8
TNC,1.0,0.958616,1.0,0.61862,0.1,1.0,0.73,0.181653,0.756521,Both,9
TIMP1,1.0,0.865403,1.0,0.484504,0.1,1.0,0.73,0.181653,0.756521,Both,10
THBS2,1.0,0.919894,1.0,0.765736,0.1,1.0,0.73,0.181653,0.756521,Both,11
FN1,1.0,0.864405,1.0,0.60353,0.1,1.0,0.73,0.181653,0.756521,Both,12
TGFB1,1.0,0.951963,1.0,0.273921,0.1,1.0,0.73,0.181653,0.756521,Both,13
ITGAV,1.0,0.977112,1.0,0.511295,0.1,1.0,0.73,0.181653,0.756521,Both,14
SPP1,1.0,0.946108,1.0,0.177748,0.1,1.0,0.73,0.181653,0.756521,Both,15
SPARC,1.0,0.97312,1.0,0.569583,0.1,1.0,0.73,0.181653,0.756521,Both,16
ITGA5,1.0,0.918031,1.0,0.843209,0.1,1.0,0.73,0.181653,0.756521,Both,17
ITGB1,1.0,0.95662,1.0,0.274617,0.1,1.0,0.73,0.181653,0.756521,Both,18
LAMC2,1.0,0.977512,1.0,0.818284,0.1,1.0,0.73,0.181653,0.756521,Both,19
LUM,1.0,0.974983,1.0,0.211401,0.1,1.0,0.73,0.181653,0.756521,Both,20
MAPK3,1.0,0.916966,1.0,0.178297,0.1,1.0,0.73,0.181653,0.756521,Both,21
MMP2,1.0,0.908849,1.0,0.256743,0.1,1.0,0.73,0.181653,0.756521,Both,22
MMP9,1.0,0.87159,1.0,0.423936,0.1,1.0,0.73,0.181653,0.756521,Both,23
SERPINE1,1.0,0.986161,1.0,0.698906,0.1,1.0,0.73,0.181653,0.756521,Both,24
COL1A2,1.0,0.958616,1.0,0.215358,0.1,1.0,0.73,0.181653,0.756521,Both,25
POSTN,1.0,0.968463,1.0,0.862417,0.1,1.0,0.73,0.181653,0.756521,Both,26
BMP2,1.0,0.884498,1.0,0.236797,0.1,1.0,0.73,0.181653,0.756521,Both,27
BGN,1.0,0.901663,1.0,0.788497,0.1,1.0,0.73,0.181653,0.756521,Both,28
IL6,1.0,0.867532,1.0,0.829764,0.1,0.7,0.685,0.181653,0.709886,Both,29
CXCL8,1.0,0.947705,1.0,0.426741,0.1,0.7,0.685,0.181653,0.709886,Both,30
CCND1,1.0,0.679308,0.4,0.033027,0.4,1.0,0.64,0.399501,0.691136,Both,31
AKT1,1.0,0.700333,0.4,0.02237,0.4,1.0,0.64,0.399501,0.691136,Both,32
ITGA2,1.0,0.708982,0.4,0.030571,0.4,1.0,0.64,0.399501,0.691136,Both,33
EGFR,1.0,0.737858,0.4,0.024967,0.4,1.0,0.64,0.399501,0.691136,Both,34
NFKB1,1.0,0.719627,0.4,0.041953,0.4,1.0,0.64,0.399501,0.691136,Both,35
LAMB1,0.7,0.972189,1.0,0.866126,0.1,1.0,0.655,0.181653,0.678797,ExoCarta,36
ANGPT2,0.7,0.906321,1.0,0.12144,0.1,1.0,0.655,0.181653,0.678797,ExoCarta,37
INHBA,0.7,0.973786,1.0,0.767277,0.1,1.0,0.655,0.181653,0.678797,ExoCarta,38
LOXL2,0.7,0.987492,1.0,0.187561,0.1,1.0,0.655,0.181653,0.678797,ExoCarta,39
ITGA3,0.7,0.949834,1.0,0.233346,0.1,1.0,0.655,0.181653,0.678797,ExoCarta,40
SLC2A1,0.7,0.912575,1.0,0.095383,0.1,1.0,0.655,0.181653,0.678797,ExoCarta,41
