gene,log2FC,pvalue,mean_cancer,mean_normal,FDR
A1BG,0.10290893019081793,7.355600000970602e-07,2.400721819257485,2.297812889066667,3.158711111527916e-06
A1BG-AS1,0.09829424220039851,0.19677355582165762,3.2347918814670655,3.136497639266667,0.3086220837126081
A1CF,0.0036919292495007916,0.8293830078764657,3.032516296916168,3.028824367666667,0.8886107806234388
A2M,0.13042845809235004,0.30992648023760594,9.941366836047905,9.810938377955555,0.4423102462472819
A2M-AS1,-0.2855742612843639,0.07633844936955335,3.004222030293413,3.289796291577777,0.1394176022968854
A2ML1,-3.4965737776396537,3.308905622825492e-27,8.42199450260479,11.918568280244443,1.9412246320576222e-25
A2MP1,-0.002514275722554693,0.5051298945405083,2.2374666326107784,2.239980908333333,0.6323797322765828
A4GALT,-0.010140624504324958,0.8500046489251901,3.149289499940119,3.159430124444444,0.903702467343653
A4GNT,-0.014147139701529365,0.17974673651995762,2.155568877209581,2.1697160169111105,0.2866952262153858
AA06,0.004656364169660421,0.865434250740559,2.528493635502994,2.5238372713333335,0.9138001595340806
AAAS,0.26577729638656056,0.00919797107940771,5.297161161275449,5.0313838648888884,0.021047062535938434
AACS,-0.5734780810920856,8.472455533975238e-08,8.435176348263472,9.008654429355557,4.0733301663659054e-07
AACSP1,0.046635961971390305,0.0863374113693646,2.911054417526946,2.8644184555555556,0.15493333114753427
AADAC,-3.491901887048969,1.0034674284485137e-15,3.0411783497065867,6.533080236755556,1.3442233467741213e-14
AADACL2,-0.6395017809936125,0.01632388075667206,3.5564710054730537,4.195972786466666,0.03550963982816664
AADACP1,-0.47107601458855575,0.02209729956042056,2.285479343389222,2.7565553579777777,0.04672857345165321
AADAT,-0.0019238329591479975,0.972045834558779,3.5723626857964077,3.5742865187555557,0.9834310212919234
AAED1,1.6620896538336662,2.5224638751877144e-28,7.469834548389222,5.807744894555555,1.727963277374099e-26
AAGAB,0.28191514317644906,0.0012548771772530245,8.279009132443115,7.9970939892666655,0.0033738648431902705
AAK1,0.32524426965309416,5.257756974120467e-08,8.94215295411976,8.616908684466665,2.5982177012500276e-07
AAMDC,-0.5338830796234184,1.7439552104284435e-08,7.257006009598803,7.790889089222222,9.164376484750296e-08
AAMP,-0.03555679675235979,0.609174467453127,7.973492535736527,8.009049332488887,0.7225085177195347
AANAT,-0.0020821048667993836,0.565011217418971,2.1653397748443117,2.167421879711111,0.685611350090919
AAR2,0.5431342131423813,5.389203060219865e-21,6.925566426586826,6.382432213444445,1.4043845787907804e-19
AARS,0.49705030503858794,1.1313675033640904e-14,9.421275264149699,8.924224959111111,1.3080186193517125e-13
AARS2,-0.3835893575177627,5.14114362715548e-08,6.81191015321557,7.195499510733333,2.543337647336592e-07
AARSD1,0.043111421828077034,0.4843624002745328,5.7757512318502995,5.7326398100222224,0.6131915962087817
